PhotoID,CameraModel,LensID,ShutterSpeedValue,ApertureValue,ISO,FocalLength,FocalLengthIn35mmFormat,SubjectDistance,eyeglasses,head_accessory,ear_obstruct,makeup,facialhair,face_decor,head_tilt,head_lift,head_turn,BirthYear,Age_atphoto,Gender,Nationality,Weight,Height,fWHR,M_attractiveness,SD_attractiveness,M_dominance,SD_dominance,M_femininity,SD_femininity,M_masculinity,SD_masculinity,M_trustworthiness,SD_trustworthiness,M_Turkishness,SD_Turkishness,GM_DA,GM_MF
156,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,13,125,105.0 mm,157 mm,2.82 m,0,0,2,0,0,0,0,0,0,1995,21,Female,Turkish,44,163,1.83095117,2.435483871,1.584980403,3.048387097,1.76883234,3.666666667,1.622580772,3.147540984,1.54742868,3.868852459,1.564985728,4.147540984,0.945798879,0.038675511,-0.023540132
158,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,13,125,98.0 mm,147 mm,2.82 m,0,0,0,1,0,0,0,0,0,1992,24,Female,Turkish,,,2.39239221,1.741935484,0.922140843,3.262295082,1.833954192,2.952380952,1.312822267,4.032258065,1.916004568,4.096774194,1.646752168,3.806451613,0.865338173,0.097755766,0.039453562
164,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,0,0,0,0,0,0,0,0,1995,21,Female,Turkish,,,1.965656383,3.655172414,1.516595034,3.280701754,1.250062655,4.706896552,1.600533033,2.050847458,1.25153325,4.93442623,1.547781773,4.081967213,0.971169089,0.027195834,-0.016859123
170,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,13,125,105.0 mm,157 mm,2.82 m,0,0,1,1,0,0,0,0,0,1995,21,Female,Turkish,,,1.970506135,3.5,1.523822135,3.967741935,1.588563037,4.73015873,1.272619209,2.5,1.308382363,3.85483871,1.469323187,3.639344262,1.049329737,0.042884025,-0.030668195
176,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,0,1,0,0,0,0,0,0,1996,20,Female,Turkish,69,177,2.03787987,2.593220339,1.59869175,4.762711864,1.557395959,3.74137931,1.457712036,4.315789474,1.774400248,3.672413793,1.720749847,3.833333333,0.905101674,0.046696522,-0.020551411
178,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,0,1,1,0,2,1,0,0,1997,19,Female,Turkish,64,177,1.946711832,3.296296296,1.808049399,4.722222222,1.67576135,4.309090909,1.793741458,3.01754386,1.80763488,3.571428571,1.559220585,3.824561404,0.947229174,0.037729574,-0.01449091
183,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,0,1,0,0,0,0,0,0,1994,22,Female,Turkish,,,2.090921431,2.639344262,1.527882924,3.048387097,1.430664403,3.830508475,1.498879379,3.25,1.663414907,4.196721311,1.710941964,4.4,0.717812118,0.033125482,0.003452971
185,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,0,2,0,0,0,0,0,0,1996,20,Female,Turkish,63,167,1.866398146,3.189655172,1.801138982,2.827586207,1.23028924,4.086206897,1.536508719,2.271186441,1.495170484,4.603448276,1.653700318,3.771929825,0.886758621,0.053544312,-0.038487569
186,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,0,1,2,0,"1,2",0,0,1,1994,22,Female,Turkish,,,2.173574845,2.879310345,1.556847762,3.894736842,1.484253186,3.803571429,1.656059319,3.649122807,1.663593658,3.964285714,1.488920118,3.642857143,1.118904845,0.054382103,0.018959309
188,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,0,2,0,0,0,0,0,0,1996,20,Female,Turkish,64,180,1.880726571,2.709677419,1.323025554,3.123076923,1.718535826,3.721311475,1.539817603,2.873015873,1.660665078,3.419354839,1.510057942,3.825396825,0.959497223,0.034026955,-0.025959655
